BEM,Long,Lat,Depth,Year,Mo,Day,Hr,Min,Sec,sigM,Round,Mag,Type,N*
6.63,-112.4,38.5,0.0,1901,11,14,4,39,0.0,0.287,0.01,Mpred|Xnon,0.786,
6.59,-112.795,41.658,9.0,1934,3,12,15,5,48.0,0.3,0.01,Mobs,0.769,
6.34,-113.52,37.393,0.0,1902,11,17,19,50,0.0,0.5,0.01,Mpred|Io,0.482,
6.02,-112.525,42.063,5.0,1975,3,28,2,31,5.99,0.06,0.01,Mobs,0.990,
5.91,-114.87700000000001,41.166000000000004,8.0,2008,2,21,14,16,2.62,0.06,0.01,Mobs,0.990,
5.89,-112.745,41.571000000000005,9.0,1934,3,12,18,20,12.0,0.3,0.01,Mobs,0.769,
5.75,-111.73299999999999,41.917,10.0,1962,8,30,13,35,28.7,0.15,0.01,Mobs,0.936,
5.66,-111.134,42.742,4.5,1994,2,3,9,5,4.26,0.1,0.01,Mobs,0.971,
5.58,-111.4,42.3,5.0,1884,11,10,8,50,0.0,0.5,0.01,Mpred|Io,0.482,
5.58,-114.5,42.9,0.0,1905,11,11,21,29,0.0,0.5,0.01,Mpred|Io,0.482,
5.58,-112.7,41.8,0.0,1909,10,6,2,41,0.0,0.5,0.01,Mpred|Io,0.482,
5.58,-111.5,36.5,0.0,1912,8,18,21,12,0.0,0.5,0.01,Mpred|Io,0.482,
5.55,-112.37,36.8,0.0,1959,7,21,17,39,29.0,0.141,0.01,Mpred|Xmix,0.943,
5.5,-112.5,41.5,0.0,1934,4,7,2,16,0.0,0.37,0.10,M~|MxJON,0.670,
5.5,-113.0,41.5,0.0,1934,5,6,8,9,49.0,0.3,0.10,M~|MsGR,0.769,
5.5,-114.1,37.3,33.0,1966,8,17,23,7,58.9,0.2,0.10,M~|MLBRK,0.890,
5.5,-114.2,37.4,33.0,1966,9,22,18,57,36.5,0.2,0.10,M~|MLPAS,0.890,
5.5,-113.506,37.105,15.0,1992,9,2,10,26,21.08,0.1,0.01,Mobs,0.971,
5.45,-112.15,38.683,0.0,1921,9,29,14,12,0.0,0.287,0.01,Mpred|Xnon,0.786,
5.4,-113.9,42.1,0.0,1937,11,19,0,50,20.0,0.37,0.10,M~|MxSJG,0.670,
5.3,-111.3,43.0,0.0,1917,12,12,11,50,0.0,0.37,0.10,M~|MLREN,0.670,
5.3,-110.5,40.5,0.0,1950,1,18,1,55,51.0,0.2,0.10,M~|UknPAS,0.890,
5.3,-114.2,37.3,33.0,1966,9,22,18,56,41.0,0.2,0.10,M~|MLPAS,0.890,
5.28,-111.8,40.7,0.0,1910,5,22,14,28,0.0,0.287,0.01,Mpred|Xnon,0.786,
5.25,-112.5,41.5,0.0,1934,4,14,21,26,32.0,0.3,0.10,M~|MsGR,0.769,
5.25,-115.0,37.0,20.0,1967,5,7,18,1,36.1,0.2,0.10,M~|ML,PAS,0.89
5.22,-114.15100000000001,37.464,7.0,1966,8,16,18,2,32.9,0.198,0.01,Mpred|Xvar,0.892,
5.2,-111.61399999999999,38.823,25.0,1989,1,30,4,6,22.82,0.1,0.01,Mobs,0.971,
5.17,-111.391,42.931999999999995,9.0,2001,4,21,17,18,56.29,0.05,0.01,Mobs,0.993,
5.1,-112.5,41.5,0.0,1934,3,12,18,12,0.0,0.37,0.10,M~|MxJON,0.670,
5.1,-112.5,41.5,0.0,1934,3,15,12,1,0.0,0.37,0.10,M~|MxJON,0.670,
5.1,-114.2,37.3,33.0,1966,10,26,15,17,38.6,0.2,0.10,M~|MLBRK,0.890,
5.08,-112.15700000000001,38.543,14.0,1967,10,4,10,20,12.8,0.15,0.01,Mobs,0.936,
5.06,-111.90899999999999,39.533,4.0,1963,7,7,19,20,39.59,0.15,0.01,Mobs,0.936,
5.02,-110.89,39.133,17.0,1988,8,14,20,3,3.7,0.127,0.01,Mpred|Xvar,0.954,
5.0,-115.0,38.0,0.0,1934,4,15,12,9,0.0,0.5,0.10,M~|MfaWOO,0.482,
5.0,-114.81700000000001,35.967,0.0,1939,5,4,20,44,46.8,0.2,0.10,M~|MLPAS,0.890,
5.0,-115.0,37.0,16.0,1940,3,10,18,1,54.0,0.5,0.10,M~|MfaWOO,0.482,
5.0,-114.2,37.3,33.0,1966,8,18,9,15,37.5,0.2,0.10,M~|MLPAS,0.890,
5.0,-114.2,37.4,33.0,1966,8,18,17,35,6.4,0.2,0.10,M~|MLPAS,0.890,
4.9,-114.7,36.1,16.0,1952,5,24,4,15,15.0,0.2,0.10,M~|MLPAS,0.890,
4.9,-114.8,36.0,0.0,1952,10,20,7,26,39.0,0.37,0.10,M~|UknUNR,0.670,
4.9,-114.8,36.0,19.0,1963,3,25,9,28,43.0,0.2,0.10,M~|MLPAS,0.890,
4.9,-114.2,37.3,33.0,1966,10,25,16,39,32.9,0.2,0.10,M~|MLBRK,0.890,
4.87,-112.089,40.715,7.0,1962,9,5,16,4,27.8,0.129,0.01,Mpred|Xmix,0.952,
4.85,-108.919,42.534,5.0,1984,11,3,9,30,8.4,0.153,0.01,Mpred|Xvar,0.934,
4.83,-112.51799999999999,42.033,6.8,1975,3,29,13,1,19.89,0.15,0.01,Mobs,0.936,
4.82,-111.095,42.766000000000005,5.0,1994,2,11,14,59,51.3,0.08900000000000001,0.01,Mpred|Xvar,0.977,
4.81,-108.5,40.5,0.0,1871,11,9,0,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-111.58200000000001,39.527,0.0,1876,3,22,0,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-112.522,37.047,0.0,1887,12,5,15,30,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-113.573,37.106,0.0,1891,4,20,13,55,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-108.0,40.5,0.0,1891,12,1,21,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-111.959,41.224,0.0,1894,7,18,22,50,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-113.52,37.395,0.0,1902,12,5,0,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-112.15,38.683,0.0,1910,1,10,13,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-112.15,38.683,0.0,1910,1,12,3,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-111.1,36.0,0.0,1910,9,24,4,5,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-112.65,40.5,0.0,1915,8,11,10,20,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-111.5,42.5,0.0,1924,11,25,7,10,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-111.0,42.6,0.0,1930,6,12,9,15,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-110.7,43.5,0.0,1932,1,26,10,13,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-112.1,36.0,0.0,1935,1,10,8,10,0.5,0.01,Mpred|Io,0.482,,
4.81,-113.066,37.683,0.0,1942,8,30,22,8,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-113.066,37.683,0.0,1942,9,26,14,50,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-112.0,38.8,0.0,1945,11,18,1,7,41.0,0.5,0.01,Mpred|Io,0.482,
4.81,-111.0,43.5,0.0,1948,2,24,2,39,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-111.84899999999999,40.749,0.0,1949,3,7,6,50,0.0,0.5,0.01,Mpred|Io,0.482,
4.81,-114.8,36.0,0.0,1958,4,19,9,1,2.0,0.5,0.01,Mpred|Io,0.482,
4.81,-112.0,41.2,0.0,1914,5,13,17,15,0.0,0.287,0.01,Mpred|Xnon,0.786,
4.8,-112.5,41.5,0.0,1934,3,12,17,29,0.0,0.37,0.10,M~|MxJON,0.670,
4.8,-112.5,41.5,0.0,1934,3,15,13,46,0.0,0.37,0.10,M~|MxJON,0.670,
4.8,-114.2,37.4,33.0,1966,9,4,11,23,18.1,0.2,0.10,M~|MLBRK,0.890,
4.8,-114.18,37.42,33.0,1967,2,16,15,5,54.3,0.2,0.10,M~|MLBRK,0.890,
4.73,-111.15700000000001,42.71,0.0,1994,2,4,2,42,12.3,0.08900000000000001,0.01,Mpred|Xvar,0.977,
4.7,-113.5,37.0,0.0,1949,11,2,2,29,38.0,0.2,0.10,M~|UknPAS,0.890,
4.69,-112.491,42.101000000000006,6.0,1978,11,30,6,53,40.21,0.125,0.01,Mobs,0.955,
4.68,-110.484,40.458,7.0,1977,9,30,10,19,21.0,0.14300000000000002,0.01,Mpred|Xvar,0.942,
4.67,-112.15,38.683,0.0,1921,10,1,15,32,0.0,0.287,0.01,Mpred|Xnon,0.786,
4.67,-112.34,38.247,6.0,2011,1,3,12,6,36.88,0.06,0.01,Mobs,0.990,
4.66,-110.76700000000001,43.294,5.0,1983,12,20,22,52,23.7,0.18899999999999997,0.01,Mpred|Xvar,0.901,
4.64,-114.931,41.151,9.0,2008,2,21,23,57,51.0,0.05,0.01,Mobs,0.993,
4.64,-110.132,43.483000000000004,8.0,1993,12,28,21,2,28.77,0.207,0.01,Mpred|Xi,0.882,
4.6,-114.2,37.3,33.0,1966,8,22,8,27,30.2,0.2,0.10,M~|MLBRK,0.890,
4.59,-111.139,42.641000000000005,0.0,1994,2,7,6,35,47.3,0.08900000000000001,0.01,Mpred|Xvar,0.977,
4.57,-114.898,41.114,6.0,2008,2,21,14,20,51.63,0.136,0.01,Mpred|Xvar,0.947,
4.57,-113.84,41.662,7.0,1970,3,29,12,40,40.3,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.53,-111.094,41.703,3.0,2010,4,15,23,59,38.97,0.06,0.01,Mobs,0.990,
4.5,-111.425,42.604,0.0,1982,10,14,4,10,23.1,0.14,0.01,Mpred|Xvar,0.944,
4.5,-114.8,36.0,0.0,1936,9,7,11,48,0.0,0.37,0.10,M~|UknSJG,0.670,
4.5,-115.0,37.0,0.0,1940,3,11,0,6,30.0,0.2,0.10,M~|MLPAS,0.890,
4.5,-115.0,37.0,0.0,1940,4,7,8,42,0.0,0.2,0.10,M~|MLPAS,0.890,
4.5,-114.5,37.5,0.0,1953,8,9,22,0,2.0,0.2,0.10,M~|MLPAS,0.890,
4.5,-112.4,36.9,26.0,1962,2,15,7,12,42.9,0.2,0.10,M~|MLPAS,0.890,
4.5,-112.1,38.0,33.0,1962,6,5,22,29,45.0,0.2,0.10,M~|MLPAS,0.890,
4.5,-114.2,37.4,33.0,1966,8,16,19,50,9.5,0.2,0.10,M~|MLPAS,0.890,
4.5,-114.2,37.3,34.0,1966,8,18,6,15,1.3,0.2,0.10,M~|MLPAS,0.890,
4.5,-114.2,37.3,33.0,1966,8,18,12,0,35.1,0.2,0.10,M~|MLPAS,0.890,
4.5,-114.2,37.3,33.0,1966,9,22,19,59,39.8,0.2,0.10,M~|MLPAS,0.890,
4.5,-114.1,37.3,33.0,1966,9,23,11,56,9.4,0.2,0.10,M~|MLPAS,0.890,
4.5,-114.2,37.3,33.0,1966,10,2,15,39,41.2,0.2,0.10,M~|MLBRK,0.890,
4.5,-114.84,37.28,0.0,2004,5,16,1,29,39.27,0.15,0.10,M~|MLREN,0.936,
4.5,-113.177,41.218,7.0,1987,9,25,4,27,57.8,0.14,0.01,Mpred|Xvar,0.944,
4.49,-114.191,37.439,7.0,1966,8,19,10,51,37.9,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.48,-108.1,42.67,10.0,1975,3,25,14,59,58.0,0.401,0.01,Mpred|Xi,0.625,
4.48,-112.521,38.236,9.0,1998,1,2,7,28,29.48,0.05,0.01,Mobs,0.993,
4.48,-110.72399999999999,43.156000000000006,5.0,1985,9,7,3,47,29.2,0.192,0.01,Mpred|Xvar,0.898,
4.46,-111.419,43.09,10.0,1992,11,10,10,54,50.82,0.154,0.01,Mpred|Xvar,0.933,
4.45,-111.477,41.994,1.0,1988,11,19,19,42,37.2,0.159,0.01,Mpred|Xvar,0.929,
4.43,-111.08,42.586000000000006,0.0,1994,4,7,16,16,44.1,0.08900000000000001,0.01,Mpred|Xvar,0.977,
4.42,-110.484,40.486,7.0,1977,10,11,7,56,6.1,0.14300000000000002,0.01,Mpred|Xvar,0.942,
4.42,-112.15,38.683,0.0,1921,9,30,2,30,0.0,0.287,0.01,Mpred|Xnon,0.786,
4.42,-111.96,39.937,10.0,1980,5,24,10,3,36.47,0.125,0.01,Mobs,0.955,
4.42,-111.10600000000001,42.761,5.0,1994,2,3,11,19,8.0,0.09699999999999999,0.01,Mpred|Xvar,0.973,
4.41,-111.561,41.661,7.0,1966,3,17,11,47,47.4,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.4,-111.42,43.06,5.0,1969,9,19,9,31,45.9,0.23,0.01,Mpred|Xi,0.857,
4.4,-111.27,43.01,5.0,1969,9,19,19,57,18.7,0.23,0.01,Mpred|Xi,0.857,
4.4,-114.5,37.0,0.0,1955,1,10,10,7,28.0,0.2,0.10,M~|MLPAS,0.890,
4.4,-112.9,37.0,21.0,1962,2,15,9,6,45.1,0.2,0.10,M~|MLPAS,0.890,
4.4,-114.2,37.5,16.0,1962,7,8,15,58,6.0,0.2,0.10,M~|MLPAS,0.890,
4.4,-114.2,37.4,25.0,1966,8,17,4,14,0.7,0.2,0.10,M~|MLBRK,0.890,
4.4,-114.1,37.3,33.0,1966,8,18,13,33,21.2,0.2,0.10,M~|MLBRK,0.890,
4.4,-114.67200000000001,37.229,0.0,2006,6,20,4,16,25.26,0.15,0.10,M~|MLREN,0.936,
4.38,-113.486,36.467,1.0,1999,8,24,13,5,10.3,0.225,0.01,Mpred|Xi,0.862,
4.37,-112.266,36.01,5.0,1992,3,14,5,13,33.4,0.225,0.01,Mpred|Xi,0.862,
4.36,-112.1,40.0,0.0,1900,8,1,7,45,0.0,0.287,0.01,Mpred|Xnon,0.786,
4.36,-113.47,41.513999999999996,4.0,1992,11,4,18,22,9.1,0.12300000000000001,0.01,Mpred|Xvar,0.957,
4.36,-111.561,38.788000000000004,1.0,1992,6,24,7,31,20.3,0.114,0.01,Mpred|Xvar,0.963,
4.36,-110.68,43.28,0.0,1998,6,20,21,16,21.0,0.094,0.01,Mpred|Xvar,0.975,
4.35,-114.917,41.104,12.0,2008,2,22,23,27,45.3,0.05,0.01,Mobs,0.993,
4.35,-110.9,39.124,1.0,1988,8,18,12,44,53.6,0.127,0.01,Mpred|Xvar,0.954,
4.35,-108.77,43.41,5.0,1967,4,26,10,17,59.4,0.401,0.01,Mpred|Xi,0.625,
4.35,-111.34899999999999,40.506,7.0,1972,10,1,19,42,29.52,0.15,0.01,Mobs,0.936,
4.34,-111.6,40.4,0.0,1915,7,15,22,0,0.0,0.287,0.01,Mpred|Xnon,0.786,
4.34,-114.791,41.004,5.0,2008,2,21,14,34,41.87,0.099,0.01,Mpred|Xvar,0.972,
4.33,-112.165,38.647,7.0,1972,1,3,10,20,38.9,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.32,-108.06,42.813,10.0,1985,8,16,6,5,22.6,0.23,0.01,Mpred|Xi,0.857,
4.32,-111.15299999999999,42.753,0.0,1994,2,3,7,14,50.7,0.105,0.01,Mpred|Xvar,0.968,
4.3,-113.5,36.3,0.0,1936,1,22,3,38,0.0,0.37,0.10,M~|MLREN,0.670,
4.3,-114.9,36.0,0.0,1942,9,9,5,15,0.0,0.5,0.10,M~|UK,UU,0.48200000000000004
4.3,-112.0,41.5,0.0,1950,1,2,19,53,4.0,0.37,0.10,M~|MLREN,0.670,
4.3,-114.333,37.666,16.0,1961,9,26,21,46,20.0,0.2,0.10,M~|MLPAS,0.890,
4.3,-114.2,37.3,33.0,1966,8,19,0,18,56.1,0.2,0.10,M~|MLBRK,0.890,
4.3,-114.2,37.4,33.0,1966,8,20,11,36,47.9,0.2,0.10,M~|MLBRK,0.890,
4.3,-114.2,37.3,33.0,1966,10,8,12,36,14.7,0.2,0.10,M~|MLBRK,0.890,
4.3,-114.2,37.3,33.0,1966,10,31,17,18,16.8,0.2,0.10,M~|MLBRK,0.890,
4.3,-114.2,37.4,33.0,1966,12,7,1,7,16.2,0.2,0.10,M~|MLBRK,0.890,
4.3,-111.552,38.739000000000004,3.0,2001,7,19,20,15,33.82,0.05,0.01,Mobs,0.993,
4.3,-114.96799999999999,37.243,5.0,1992,8,4,13,37,27.67,0.154,0.01,Mpred|Xvar,0.933,
4.28,-111.896,39.51,2.0,2003,4,17,1,4,18.98,0.05,0.01,Mobs,0.993,
4.28,-112.057,36.027,4.0,1989,3,5,9,17,57.0,0.225,0.01,Mpred|Xi,0.862,
4.26,-110.881,39.116,6.0,1996,1,6,12,55,58.73,0.1,0.01,Mobs,0.971,
4.26,-112.09899999999999,36.041,6.0,1989,3,5,0,40,32.3,0.225,0.01,Mpred|Xi,0.862,
4.26,-108.82,40.125,3.0,1995,3,20,12,46,16.3,0.102,0.01,Mpred|Xvar,0.970,
4.25,-111.21799999999999,38.098,7.0,1963,9,30,9,17,39.3,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.24,-112.00299999999999,39.229,0.0,1986,3,24,22,40,23.3,0.136,0.01,Mpred|Xvar,0.947,
4.24,-112.0,40.7,0.0,1943,2,22,14,20,0.0,0.21899999999999997,0.01,Mpred|Xnon,0.869,
4.24,-114.499,37.404,14.0,1971,12,26,6,3,56.0,0.23,0.01,Mpred|Xi,0.857,
4.24,-111.0,42.8,5.0,1994,2,3,9,46,53.42,0.23,0.01,Mpred|Xi,0.857,
4.24,-112.575,38.588,5.0,1983,12,9,8,58,40.78,0.125,0.01,Mobs,0.955,
4.24,-112.051,40.468,10.0,1992,3,16,14,42,49.7,0.114,0.01,Mpred|Xvar,0.963,
4.22,-113.17,41.2,8.0,1987,10,26,4,16,1.0,0.14,0.01,Mpred|Xvar,0.944,
4.22,-111.169,42.781000000000006,1.0,1994,2,3,9,12,28.8,0.105,0.01,Mpred|Xvar,0.968,
4.22,-111.515,41.988,0.0,1988,11,19,20,0,53.3,0.14,0.01,Mpred|Xvar,0.944,
4.22,-114.986,40.611999999999995,5.0,1997,5,16,1,23,19.83,0.18100000000000002,0.01,Mpred|Xvar,0.908,
4.21,-111.19,43.303999999999995,7.0,1983,2,8,10,54,54.9,0.192,0.01,Mpred|Xvar,0.898,
4.2,-114.2,37.3,33.0,1966,9,27,8,29,44.4,0.2,0.10,M~|MLBRK,0.890,
4.2,-111.6,36.15,33.0,1967,9,4,23,27,46.2,0.3,0.10,M~|MLUBO,0.769,
4.19,-111.166,42.685,5.0,1994,4,10,20,4,10.0,0.094,0.01,Mpred|Xvar,0.975,
4.18,-112.556,38.728,9.0,2001,2,23,21,43,50.32,0.05,0.01,Mobs,0.993,
4.18,-111.50200000000001,42.431999999999995,10.0,2006,6,30,16,55,1.16,0.05,0.01,Mobs,0.993,
4.18,-111.04899999999999,42.56100000000001,0.0,1994,2,7,12,15,47.0,0.094,0.01,Mpred|Xvar,0.975,
4.18,-111.104,42.773999999999994,2.0,1994,2,10,0,56,12.6,0.105,0.01,Mpred|Xvar,0.968,
4.17,-113.15700000000001,38.196,7.0,1966,10,21,7,13,48.9,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.17,-112.631,42.043,7.0,1973,4,14,6,45,46.5,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.17,-112.53399999999999,42.066,5.0,1975,3,27,4,48,51.7,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.17,-113.307,37.601,10.0,1981,4,5,5,40,39.57,0.125,0.01,Mobs,0.955,
4.17,-110.8,42.9,1.0,1969,8,27,15,59,28.4,0.23,0.01,Mpred|Xi,0.857,
4.17,-111.49,42.96,5.0,1969,9,19,23,58,6.5,0.23,0.01,Mpred|Xi,0.857,
4.17,-114.82600000000001,37.192,5.0,1995,6,3,17,21,39.43,0.23,0.01,Mpred|Xi,0.857,
4.15,-111.102,42.691,1.0,1994,2,3,9,58,41.7,0.105,0.01,Mpred|Xvar,0.968,
4.15,-110.781,43.168,5.0,1985,8,21,18,5,38.3,0.18899999999999997,0.01,Mpred|Xvar,0.901,
4.15,-112.76700000000001,38.069,0.0,1991,4,20,12,56,51.2,0.12300000000000001,0.01,Mpred|Xvar,0.957,
4.15,-112.741,38.088,3.0,1999,10,22,17,51,15.69,0.05,0.01,Mobs,0.993,
4.15,-114.83,41.185,11.0,2008,2,27,7,59,38.2,0.05,0.01,Mobs,0.993,
4.15,-114.84,41.229,12.0,2008,4,1,13,16,17.2,0.05,0.01,Mobs,0.993,
4.14,-111.156,42.693999999999996,0.0,1994,2,3,12,4,57.3,0.105,0.01,Mpred|Xvar,0.968,
4.13,-110.822,43.18899999999999,5.0,2002,10,22,4,11,15.89,0.10300000000000001,0.01,Mpred|Xvar,0.970,
4.13,-112.115,37.826,11.0,2012,4,12,3,29,22.6,0.05,0.01,Mobs,0.993,
4.12,-112.384,41.707,5.0,1989,7,5,22,51,56.7,0.14,0.01,Mpred|Xvar,0.944,
4.11,-112.375,41.706,3.0,1989,7,3,22,44,28.7,0.18899999999999997,0.01,Mpred|Xvar,0.901,
4.11,-111.48299999999999,42.995,5.0,1992,11,11,18,0,21.65,0.127,0.01,Mpred|Xvar,0.954,
4.11,-110.051,43.458999999999996,5.0,2001,9,27,22,5,21.72,0.10300000000000001,0.01,Mpred|Xvar,0.970,
4.11,-111.074,42.633,5.0,1994,4,8,7,26,22.1,0.094,0.01,Mpred|Xvar,0.975,
4.1,-111.368,43.07,10.0,1992,11,10,10,46,18.18,0.207,0.01,Mpred|Xi,0.882,
4.1,-113.12899999999999,41.173,4.0,1987,9,25,5,18,14.3,0.127,0.01,Mpred|Xvar,0.954,
4.1,-114.7,36.5,0.0,1966,1,22,15,17,4.0,0.2,0.10,M~|MLBRK,0.890,
4.1,-114.613,38.864000000000004,5.0,1984,12,23,1,47,44.6,0.1,0.10,M~|MLBRK,0.971,
4.09,-111.73,41.726000000000006,7.0,1964,10,18,18,33,20.8,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.09,-111.854,37.983000000000004,7.0,1966,5,20,13,40,47.9,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.09,-110.34299999999999,42.496,7.0,1971,12,3,7,44,59.3,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.09,-112.581,42.033,7.0,1975,3,30,6,56,28.7,0.22899999999999998,0.01,Mpred|Xi,0.858,
4.09,-108.68,38.91,5.0,1971,11,12,9,30,44.6,0.23,0.01,Mpred|Xi,0.857,
4.09,-112.301,36.016999999999996,5.0,1992,8,1,5,3,12.09,0.23,0.01,Mpred|Xi,0.857,
4.09,-108.242,42.818999999999996,5.0,1992,10,10,15,40,56.25,0.23,0.01,Mpred|Xi,0.857,
4.09,-111.09200000000001,42.724,5.0,1994,2,10,17,17,22.27,0.23,0.01,Mpred|Xi,0.857,
4.09,-108.212,42.68899999999999,5.0,2007,9,5,10,58,0.19,0.23,0.01,Mpred|Xi,0.857,
4.08,-108.3,42.2,30.0,1963,10,14,8,31,23.0,0.401,0.01,Mpred|Xi,0.625,
4.07,-112.50399999999999,37.988,11.0,1998,6,18,11,0,39.58,0.05,0.01,Mobs,0.993,
4.06,-111.5,40.5,0.0,1958,2,13,22,52,0.0,0.21899999999999997,0.01,Mpred|Xnon,0.869,
4.05,-110.89,43.166000000000004,5.0,1985,8,30,21,8,6.9,0.146,0.01,Mpred|Xvar,0.940,
4.05,-111.16799999999999,42.755,0.0,1994,2,5,9,9,42.8,0.094,0.01,Mpred|Xvar,0.975,
4.05,-111.844,42.555,7.0,1978,10,24,20,30,59.3,0.191,0.01,Mpred|Xvar,0.899,
4.05,-110.87,43.222,8.0,2009,1,16,4,15,35.7,0.05,0.01,Mobs,0.993,
4.05,-111.83200000000001,39.705999999999996,0.0,1853,12,1,18,15,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-112.64,38.279,0.0,1873,7,31,3,15,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-112.58,38.6,0.0,1878,8,14,0,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-112.23,41.976000000000006,0.0,1880,7,12,5,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-111.84899999999999,40.749,0.0,1880,9,17,6,27,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-113.8,37.583,0.0,1881,3,26,2,15,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-113.39,39.76,0.0,1894,1,8,18,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-113.4,39.9,0.0,1894,6,8,18,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-113.573,37.106,0.0,1903,11,23,10,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-112.719,41.971000000000004,0.0,1905,11,11,23,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-111.959,41.224,0.0,1906,5,24,21,10,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-111.4,42.5,0.0,1906,10,19,2,6,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-113.007,38.393,0.0,1908,4,15,0,0,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-112.7,41.8,0.0,1909,11,17,6,30,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-109.3,41.5,0.0,1910,7,26,1,30,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-112.0,42.3,0.0,1913,4,12,8,30,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-111.917,40.983000000000004,0.0,1914,4,8,16,6,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-113.713,37.573,0.0,1914,12,14,5,30,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-111.3,42.3,0.0,1915,3,15,3,35,0.0,0.5,0.01,Mpred|Io,0.482,
4.05,-112.162,41.744,0.0,1915,7,30,18,50,0.0,0.5,0.01,Mpred|Io,0.482,
